Firm CRD,Investments - CD,Investments - Closed-End Funds,Investments - Commercial Paper,Investments - Corporate Debt,Investments - Equities Exchange,Investments - Equities Foreign,Investments - Equities Otc,Investments - ETFs,Investments - ETNs,Investments - Futures Intangibles,Investments - Futures Tangibles,Investments - Hedge Funds,Investments - Money Markets,Investments - Municipal Securities,Investments - Mutual Funds,Investments - Oil and Gas Partnerships,Investments - Options Commodities,Investments - Options Securities,Investments - Private Equity Funds,Investments - Private Placements,Investments - Real Estate Partnerships,Investments - REITs,Investments - UITs,Investments - US Government Securities,Investments - Variable Annuities,Investments - Variable Life,Investments - Venture Capital Funds,Investments - Warrants,Investments - Other Partnerships,Investment Strategies - Active,Investment Strategies - Alternative Investing,Investment Strategies - Builds Portfolios Of ETFS ETNS,Investment Strategies - Builds Portfolios Of Mutual Funds,Investment Strategies - ESG Impact Investing,Investment Strategies - Focus Cash Management,Investment Strategies - Focus Equities Domestic,Investment Strategies - Focus Equities International,Investment Strategies - Focus Fixed Income Taxable,Investment Strategies - Focus Fixed Income Tax Free,Investment Strategies - Long Term Buy,Investment Strategies - Margin Transactions,Investment Strategies - Option Writing,Investment Strategies - Passive,Investment Strategies - Primarily Recommends Particular Type Of Security,Investment Strategies - Proprietary Model For Security Selection,Investment Strategies - Selects Separate Account Managers,Investment Strategies - Short Sales,Investment Strategies - Short Term Buy,Investment Strategies - Socially Responsible Investing,Investment Strategies - Style Growth,Investment Strategies - Style Value,Investment Strategies - Trading,Investment Strategies - Other,Methods of Analysis - Charting,Methods of Analysis - Cyclical,Methods of Analysis - Fundamental,Methods of Analysis - Technical,Methods of Analysis - Other,Research Methods - Company Press Releases,Research Methods - Corporate Rating Services,Research Methods - Financial Publications,Research Methods - Inspection Of Corporate Records,Research Methods - SEC Filings,Research Methods - Third Party Research,Research Methods - Timing Services,Research Methods - Other Information Sources,7B Private Fund Reporting - Yes or No
332850,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,
333056,,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,Yes,,,,,,,Yes,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
333441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327158,Yes,Yes,,Yes,Yes,,,Yes,Yes,,,,Yes,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,Yes,,Yes,,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326629,,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,Yes,Yes,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,
331866,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,,,Yes,Yes,,,,,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,
332393,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,Yes,,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,,,,Yes,Yes,,,,,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,
332781,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,,,Yes,Yes,,,,,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,
332891,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,Yes,,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,Yes,Yes,,Yes,Yes,,,
333127,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,,,,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,
333173,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,,Yes,
333363,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,
331428,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,,,Yes
332136,,,,,,Yes,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,Yes,,,,,,Yes,,Yes,
332287,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
332434,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,
332761,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,
332763,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,Yes,,,Yes,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Yes,
332871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
333129,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,,,,,,,,,
331963,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,
331984,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,Yes,,,,,,,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,
332010,,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,Yes,
332162,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,Yes,Yes,,,,,,Yes,Yes,Yes,,,,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,,
332608,,,,,Yes,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,,Yes,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,
332609,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,
332767,,,,Yes,Yes,Yes,,Yes,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,
332862,,,,Yes,Yes,Yes,,Yes,,,,,,,,,Yes,Yes,,,,,,Yes,,,,,,,Yes,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,,
333203,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,Yes,,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,
333361,,,,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,,,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,Yes,,,,,,,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
313152,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,Yes,,,Yes,,,,,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,
330781,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,Yes,,Yes,,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,,,,Yes,Yes,,Yes,,,,,,,,,
330830,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,Yes,,,,,Yes,Yes,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,
331123,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,Yes,,,,,,,,,
331483,,,,Yes,Yes,Yes,,Yes,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,Yes,Yes,Yes,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,,,Yes,,Yes,
331522,,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,Yes,,Yes,
332271,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,,,Yes,,,,Yes,,,,,Yes,,,,,,,,,
332389,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,Yes,,Yes,,,,,,,,,,,Yes,,,,,,,,,
332827,,Yes,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,Yes,,,Yes,,,Yes,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,,,,Yes,,Yes,,,Yes,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,
333076,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,,Yes,,,,,,Yes,,Yes,,,,Yes,,Yes,,,Yes,,,,,,,,,,
333092,,Yes,,Yes,Yes,Yes,,Yes,Yes,,,,,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,,,,Yes,,Yes,,,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,,,
333108,,Yes,,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,Yes,,Yes,,,,,Yes,,Yes,,,,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,Yes,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,
329970,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,,,,Yes,,,,,Yes,Yes,,,,,,,,,,
329160,,Yes,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,Yes,,,,,Yes,,Yes,,,Yes,,Yes,,,,,,Yes,,Yes,
331403,,,,,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,,Yes,,Yes,,,Yes,,Yes,,,,,,Yes,,Yes,
331432,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,,
331809,Yes,,Yes,Yes,Yes,,,Yes,Yes,,,,Yes,Yes,Yes,,,Yes,Yes,,,Yes,Yes,,Yes,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,
332243,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,Yes,,,,Yes,,,,,,,,Yes,,,,,,,,,
332279,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,Yes,,,,,,Yes,,,,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,,
332317,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
332774,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,,,,,,,,,Yes,Yes,,,Yes,Yes,,Yes,,,,,,,,,
332776,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
333125,,,,Yes,Yes,Yes,,Yes,,,,,Yes,Yes,,,,,,,,,,Yes,,,,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,Yes,Yes,,,,,Yes,,Yes,,,,,,,,,
330293,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,Yes,,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329207,,Yes,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,,,,Yes,,Yes,,,,,Yes,,,,,Yes,,,Yes,Yes,Yes,Yes,,Yes,
332159,,Yes,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,
332194,Yes,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,Yes,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,
332227,,,,Yes,Yes,Yes,,Yes,,,,,,,,,Yes,Yes,,,,,,Yes,,,,,,,,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
332386,,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,
332409,Yes,,,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,Yes,,,Yes,Yes,,,,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,
332725,Yes,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,Yes,Yes,,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,Yes,
332985,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,Yes,Yes,,,,,Yes,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,,,,,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes
300903,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,Yes
290325,,Yes,Yes,,Yes,,,Yes,,Yes,,,,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,Yes,Yes,,,,,,,,Yes,Yes,,Yes,,,Yes,Yes,Yes,,,,,,Yes,Yes,,
331130,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
331220,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,Yes,,Yes,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,
331441,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,Yes,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
331739,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,,,,Yes,,Yes,Yes,Yes,,,,,,,,,,
332377,,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,,,
332672,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,,,,Yes,,,,,Yes,Yes,,,Yes,Yes,,Yes,,,,,,,,,
332892,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,Yes,,Yes,Yes,,,,,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,,,
333039,,,,,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,,,,,,Yes,,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,,Yes,,Yes,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,Yes,,,
333179,,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,,,,,,Yes,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
327706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324210,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331435,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,Yes,Yes,,,Yes,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,Yes
331643,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,
332277,,Yes,,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,Yes,,,,Yes,,,Yes,,Yes,Yes,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,,,Yes,,Yes,,,,,,Yes,,Yes,Yes,,Yes,,Yes,
332326,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,Yes,,,,Yes,,,Yes,,Yes,,Yes,Yes,,,,,Yes,,,,,,,,,
332551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,Yes,,,Yes,Yes,,
332592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,
332662,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,Yes,,,
333026,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
333038,Yes,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,
333041,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,,,,,,Yes,,,,,,,,Yes,,Yes,Yes,Yes,Yes,,,,,Yes,,,,Yes,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,Yes,,Yes
329324,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,
332590,,,,Yes,Yes,,,Yes,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,,,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,
332809,,,,Yes,Yes,,,Yes,,,,,,,Yes,,Yes,,,,,,,Yes,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,
333033,,,,,Yes,Yes,,Yes,,Yes,,,Yes,Yes,,,,Yes,,,,,,Yes,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,,,,,,,,,,,Yes,,,
331273,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,,,,Yes,Yes,,,Yes,,,,Yes,,,Yes,,,,,Yes,,,,,,,,,,,
298135,,,,,Yes,,Yes,,,Yes,,,,,,Yes,,Yes,,,,Yes,,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,Yes
330813,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
331546,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
332048,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,
332448,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,Yes,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
332765,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,Yes,,,,Yes,Yes,,,,,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
332775,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,Yes,,,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,
332873,,,,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,Yes,,,,,Yes,Yes,,,Yes,,,,,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,
332881,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,,,,
332949,Yes,,,,Yes,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,Yes,,Yes,,,Yes,,Yes,,,Yes,,,Yes,,,Yes,Yes,Yes,,Yes,
